text,label,sub,verb,obj
how is it that my flt to ewr was cancelled flightled yet flts to nyc from usairways are still flying ?,0,1,8,3
just signed up for trueblue and booked a flight but keep getting an error when i try to link it to my tb account . what s the deal ?,1,3,12,3
we invite to fallow learn about our activities . prevention programs of health by condom rito family . we r ( c ) ( ),1,1,8,1
"yep , was in one of my other camera memory card d",0,3,12,1
"password reset email is incredibly slow to arrive today . checked spam folder , too . web site says a few minutes , but ?",0,3,8,3
this doesn t address my issue . i am on hold for min to speak with an agent .,0,3,8,1
"no vouchers cancelled flighted flight due weather . today s issue , broken tire . no vouchers cause tire was broken by weather . nomoaa",0,3,12,3
served the nastiest food ive ever seen yesterday . rubber chicken in slime . the entire cabin sent their food back . fas can confirm,0,3,12,3
what s the status of flight xna to dfw . i m getting different reports ?,0,3,12,3
ua ord lhr . bags are being loaded min late flight . frigid air into cabin ! plane feels like falling apart ! upgrade long haul fleet !,0,3,7,3
"it s the horrible attitude from staff after , not just the delay . not the level of service or respect one expects from united",0,3,12,3
huh ? i have sent crash reports in feb alone . in one day . only app i have that consistently crashes .,0,3,6,3
i ve been on hold for minutes . this is terrible customer service . you messed up my reservation ! http t . co oylgeao y,0,3,12,3
you can send my luggage to my house,0,2,4,1
"can t dm , you re not following . lly . rebooked on ua but still need seats .",0,2,8,2
i do i was on ua lax to den we are scheduled to land lax am please rebook to denver best flight,0,3,8,1
dang . pandora ? does it look like it may get pushed back more or is this likely it ?,1,3,8,3
i spoke with a customer service rep who was rude and curt and transferred me to eternal hold . sad . badservice mergerdisaster,0,3,12,1
weather where ? and at what time cancelled flighted ? no i can t because meeting was today .,0,3,12,3
i love how just to give feedback to this link i have to fill out all my personal info on a form . you guys are the best ),0,3,8,1
why no ground crew at dca when we re already late flight arriving evenlate flightr,0,1,12,3
i read that last hashtag as go f united . makes sense since they f us by cancelled flightling ticketed reservations,0,3,8,3
i know that bar ) wish i was there now !,0,3,8,3
please don t go to the check in process uses at mco . it s an absolute disaster .,0,3,12,3
i submitted a status match request a while back and still haven t heard ! i m flying on monday . can you look accelerate ?,0,3,12,3
"congrats to these fans who are seeing destinationdragons in l . a . ! slc , you re next ! http t . co yccitaep s ? thanks again sw",1,3,8,2
you must follow me in order for me to send you a direct message if that is what you meant .,1,2,8,1
the nightmare continues . . . http t . co tsvgbrl f,0,3,8,3
flight attendant was hesitant to give me more baby sized cookies,0,3,12,1
thanks for the vague canned response that doesn t address the issue !,0,3,12,3
thanks for getting us on ur plane . awesome flight attendant who is making us smile after difficult travel . customerservice,0,1,7,1
this is ridiculous at clt and we missed our connecting flight because of a chuckhole on runway ? ? shameful ( ),0,3,8,3
will do . thx . been sitting on plane now for . hrs and now we have to refuel ! i can t even make this stuff up .,0,3,4,1
flt . departure time has changed five times in the last minutes . why don t you figure out a solution and announce once ?,0,3,8,2
we should have been given the option to get off the plane not sit on it for a time longer than our actually flight .,0,1,2,3
"booked a flight yesterday , appeared in my account confirm email but since a few hours all disappeared and err no segment in this",0,3,12,1
thanks so much for talking to me ! the article about twitter chats came out great ! http t . co rkorhvr z contentmarketing,0,3,12,1
"just sent you a message on facebook , how do i follow up a complaint re . missing clothing out of checked baggage ?",0,3,8,2
", please explain to me why every other flight to dallas is going out today except the pm ? ? ? ? ?",0,3,7,1
download jeokoo the american app for air travelers,1,3,8,3
i appreciate the credit for my troubles but the lack of personal response troubles me .,0,3,8,1
usairways raleigh nc baggage carousel staff were aggressive towards people waiting hrs for bags . flight,0,3,8,3
looks like you lost another customer when you stranded at clt she vows never to fly with you again smoothtransition,0,2,8,2
my flight was cancelled flighted and i m needing some help reflight booking problems .,0,1,11,3
